"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Rio Grande aquifer system","rgaqpas1","NM",360752105453001,"7/8/2014","RGAQPAS1-14","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Colorado Plateaus aquifers","coplpas1","NM",363426106274501,"7/19/2017","COPLPAS1-36","<","10","<","6.8","<","8","<","50","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Colorado Plateaus aquifers","coplpas1","UT",395048111005501,"9/12/2017","COPLPAS1-31","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","25","<","20","<","10","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Biscayne aquifer","biscpas1","FL",261200080152301,"6/22/2016","BISCPAS1-11","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","5","<","50","<","2.8","<","206","<","17","<","11","<","25","NA","5.861","NA","6.6868","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Ozark Plateaus aquifer system","ozrkpas1","MO",382024091305701,"6/7/2016","OZRKPAS1-20","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","TX",314043106154501,"5/13/2014","RGAQPAS1-52","<","10","<","19.4","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",354838076541201,"9/19/2013","NACPPAS2A-18","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MO",360923089400601,"6/3/2014","METXPAS1-59","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","5","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Rio Grande aquifer system","rgaqpas1","NM",320642106440401,"5/14/2014","RGAQPAS1-03","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Rio Grande aquifer system","rgaqpas1","CO",380501106081201,"7/21/2014","RGAQPAS1-46","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","5","<","50","<","3","<","250","<","250","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","18","<","14","<","500","<","10"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",345005078493601,"9/9/2013","NACPPAS2B-04","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","KS",393922096114901,"9/18/2013","GLACPAS1-81","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",361015105412101,"7/10/2014","RGAQPAS1-19","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","6.1"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","GA",335137082444801,"8/7/2014","PIEDPAS1-33","<","25","<","5","<","8","<","19","<","25","<","6","<","4","<","5","<","50","<","3","<","250","<","17","<","11","<","25","<","3","<","25","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","GA",333132083064801,"8/27/2014","PIEDPAS1-42","<","9","<","19.4","<","8","<","100","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","TN",355047084082701,"7/18/2013","VPDCPAS1-18","<","10","<","5","<","8","<","19","<","6","<","6","<","5","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","10","<","25","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",304310086070601,"3/19/2015","FLORPAS1-26","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","NA","3.7236","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","TX",274439098144401,"9/16/2013","CLOWPAS1-21","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",291943099163301,"3/7/2017","EDTRPAS1-34","<","25","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","25","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",291828098485301,"3/1/2017","EDTRPAS1-30","<","10","<","10","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","25","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Rio Grande aquifer system","rgaqpas1","NM",354957106095101,"6/9/2014","RGAQPAS1-08","<","10","<","5","<","8","<","50","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","10"
