"PrincipalAquifer","SuCode","State","STAID","DATES","NAWQA_ID","R65064","P65064","R65065","P65065","R65066","P65066","R65067","P65067","R65068","P65068","R65069","P65069","R65070","P65070","R65072","P65072","R61678","P61678","R65078","P65078","R65080","P65080","R61679","P61679","R65084","P65084","R61680","P61680","R65085","P65085","R61682","P61682","R61683","P61683","R65087","P65087","R65088","P65088","R65089","P65089","R65090","P65090","R65091","P65091","R61685","P61685","R65093","P65093","R65098","P65098"
"Coastal lowlands aquifer system","clowpas1","TX",284749097503201,"8/27/2013","CLOWPAS1-11","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",381316091083101,"6/2/2016","OZRKPAS1-05","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","5","<","206","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","TX",290028095594700,"8/8/2013","CLOWPAS1-03","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","25","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","VA",374651078161601,"8/5/2014","PIEDPAS1-47","<","25","<","5","<","8","<","19","<","25","<","6","<","4","<","5","<","50","<","3","<","250","<","17","<","11","<","25","<","3","<","25","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","OR",452850118501501,"8/8/2016","CLPTPAS1-46","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"High Plains aquifer","hpaqpas1","KS",390309099392201,"5/18/2015","HPAQPAS1-57","<","10","E","2.6938","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","5","<","206","<","17","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",330420112034301,"7/23/2013","BNRFPAS1-50","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","AL",324159087362001,"9/4/2013","SECPPAS1-BW-34","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","10.9579"
"High Plains aquifer","hpaqpas1","CO",391743102520301,"8/6/2015","HPAQPAS1-08","<","10","NA","918.194","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","4.3653"
"Coastal lowlands aquifer system","clowpas1","TX",302207096050600,"8/19/2013","CLOWPAS1-05","<","13.0189","<","10","<","10","<","100","<","50","<","6","<","10","<","4","<","50","<","3","<","206","<","17","<","50","<","50","<","3","<","50","<","50","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","CO",391755102360701,"8/5/2015","HPAQPAS1-07","<","10","NA","4.518","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3.4445"
"Biscayne aquifer","biscpas1","FL",255304080131601,"6/16/2016","BISCPAS1-23","<","9","NA","8.5554","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","17.6997","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",375646093204101,"7/18/2016","OZRKPAS1-39","<","7","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"High Plains aquifer","hpaqpas1","NE",424420102131001,"6/16/2015","HPAQPAS1-32","<","10","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Coastal lowlands aquifer system","clowpas1","MS",310405089113701,"6/11/2013","CLOWPAS1-49","<","50","<","10","<","8","<","19","<","50","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","50","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",431154094130701,"5/14/2014","CMORPAS1-05","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","10","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Southeastern Coastal Plain aquifer system","secppas1","SC",335128081250001,"8/20/2013","SECPPAS1-C-25","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","92.8585","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","NM",361843107024701,"7/26/2017","COPLPAS1-39","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",293127098473201,"2/27/2017","EDTRPAS1-28","<","10","<","10","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","25","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Floridan aquifer system","florpas1","FL",302520086400001,"3/19/2015","FLORPAS1-25","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",291202099491001,"3/8/2017","EDTRPAS1-36","<","25","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","25","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",321908089095801,"5/15/2014","METXPAS1-36","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5"
"Glacial aquifer system","glacpas1","MI",462400086390001,"8/20/2014","GLACPAS1-28","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",353405083202101,"8/12/2014","PIEDPAS1-10","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TX",285435098324101,"8/11/2015","METXPAS1-81","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","50","<","11","<","50","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","50"
"Cambrian-Ordovician aquifer system","cmorpas1","IA",422855093481501,"4/2/2014","CMORPAS1-13","<","10","<","5","<","10","<","19","<","10","NA","1.1909","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",364236082440701,"9/11/2013","VPDCPAS1-19","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",470655120465301,"6/30/2016","CLPTPAS1-06","<","7","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Coastal lowlands aquifer system","clowpas1","LA",300719092294901,"8/13/2013","CLOWPAS1-36","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Glacial aquifer system","glacpas1","WI",432700089440001,"8/21/2013","GLACPAS1-56","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Rio Grande aquifer system","rgaqpas1","NM",340555106542101,"7/16/2014","RGAQPAS1-25","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","6.602"
"Floridan aquifer system","florpas1","FL",284820080573001,"4/20/2015","FLORPAS1-39","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","25","<","25","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","MS",345216089400201,"7/24/2013","SECPPAS1-C-30","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Rio Grande aquifer system","rgaqpas1","NM",351623106394601,"7/10/2014","RGAQPAS1-18","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Southeastern Coastal Plain aquifer system","secppas1","MS",335930089113701,"7/22/2013","SECPPAS1-BW-09","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","5"
"Glacial aquifer system","glacpas1","ME",451926068350001,"8/19/2014","GLACPAS1-11","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","AR",341147092022301,"8/27/2014","METXPAS1-07","<","9","<","5","<","8","<","100","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","UT",370939113212601,"8/8/2017","COPLPAS1-27","<","25","<","6.8","<","8","<","19","<","25","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","25","<","500","<","10"
"Ozark Plateaus aquifer system","ozrkpas1","OK",361905094423501,"5/24/2016","OZRKPAS1-02","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","100","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","AR",344651091524301,"8/14/2014","METXPAS1-16","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","TX",311148095552001,"8/25/2015","METXPAS1-86","<","50","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","31.0775","<","206","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","250","<","14","NA","NA","<","50"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","ID",454553116192901,"8/1/2016","CLPTPAS1-56","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",375535079191701,"8/24/2013","VPDCPAS1-51","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","SC",333036081442108,"8/13/2013","SECPPAS1-C-23","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","AZ",340836114165701,"6/19/2013","BNRFPAS1-38","<","50","<","250","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","50","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","AL",325627087043401,"7/9/2013","VPDCPAS1-61","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Ozark Plateaus aquifer system","ozrkpas1","MO",382942092060101,"6/29/2016","OZRKPAS1-32","<","50","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Glacial aquifer system","glacpas1","IL",400312089165401,"9/9/2013","GLACPAS1-U07","<","10","NA","35.8297","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","E","3.3048","<","6","<","10","<","500","NA","3.0279","<","18","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","GA",345255085174201,"10/24/2013","VPDCPAS1-31","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"High Plains aquifer","hpaqpas1","TX",362021102045401,"7/13/2016","HPAQPAS1-80","<","10","NA","29.2528","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","250","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","NA","8.3829","<","50","<","12","<","500","<","10"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","TN",355752082564201,"8/8/2013","VPDCPAS1-43","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","25","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","NC",345210080445301,"7/29/2014","PIEDPAS1-03","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","MS",323308090180901,"5/12/2014","METXPAS1-32","<","10","<","19.4","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","18","<","14","<","500","<","3"
"Colorado Plateaus aquifers","coplpas1","AZ",363005110250901,"8/29/2017","COPLPAS1-08","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","5","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Basin and Range aquifers","bnrfpas1","NV",375224117145401,"8/27/2013","BNRFPAS1-23","<","9","<","5","<","10","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","250","<","50","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Southeastern Coastal Plain aquifer system","secppas1","GA",321914084304301,"9/24/2013","SECPPAS1-C-10","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Coastal lowlands aquifer system","clowpas1","LA",302602091002505,"7/23/2013","CLOWPAS1-28","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","NA","1.134","<","50","<","14","<","500","<","3"
"High Plains aquifer","hpaqpas1","NE",403038098565301,"3/3/2015","HPAQPAS1-17","<","9","NA","54.4741","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","LA",320009092543601,"7/29/2014","METXPAS1-29","<","10","<","5","<","8","<","25","<","6","<","6","<","4","<","10","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Ozark Plateaus aquifer system","ozrkpas1","MO",385222092544701,"7/28/2016","OZRKPAS1-46","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","VA",365252082035701,"9/10/2013","VPDCPAS1-35","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","VA",364917078275401,"8/7/2014","PIEDPAS1-51","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","GA",341106083552301,"8/12/2014","PIEDPAS1-34","<","25","<","19.4","<","8","<","19","<","25","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","NA","1.0465","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","3"
"Floridan aquifer system","florpas1","FL",302019082444701,"6/30/2015","FLORPAS1-53","<","10","<","5","<","8","<","19","<","10","<","6","<","5","<","5","<","50","<","5","<","250","<","17","<","11","<","22","<","5","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",345637076383501,"9/16/2013","NACPPAS2A-11","<","9","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","10"
"Basin and Range aquifers","bnrfpas1","ID",420410111490401,"8/21/2013","BNRFPAS1-78","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Piedmont and Blue Ridge crystalline-rock aquifers","piedpas1","PA",394923075495401,"7/10/2014","PIEDPAS1-59","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Cambrian-Ordovician aquifer system","cmorpas1","WI",443956088132801,"7/16/2014","CMORPAS1-52","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","NA","NA","<","9","<","25","<","14","<","500","<","5.6782"
"Basin and Range aquifers","bnrfpas1","AZ",333051112082001,"7/10/2013","BNRFPAS1-44","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","NA","1.045","<","50","<","14","<","500","<","5"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",463435120325101,"6/27/2016","CLPTPAS1-02","<","50","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"High Plains aquifer","hpaqpas1","NE",400240101304001,"3/17/2015","HPAQPAS1-20","<","10","NA","13.4144","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","3","<","206","<","17","<","11","<","22","NA","2.7476","<","19","<","20","<","6","<","10","NA","NA","NA","231.583","<","18","<","14","<","500","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",294150101114901,"5/16/2017","EDTRPAS1-52","<","25","<","10","<","10","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","1000","<","17","<","11","<","22","<","3.6","<","25","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Southeastern Coastal Plain aquifer system","secppas1","AL",342640088065901,"7/11/2013","SECPPAS1-BW-23","<","9","<","5","<","8","<","19","<","50","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","3"
"Valley and Ridge and Piedmont and Blue Ridge carbonate-rock aquifers","vpdcpas1","TN",354601084084201,"7/10/2013","VPDCPAS1-29","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","<","500","<","5"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",464016119543901,"6/28/2016","CLPTPAS1-03","<","50","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Miss. Embayment-TX Coastal Uplands aquifer system","metxpas1","KY",363800088410003,"6/5/2014","METXPAS1-57","<","9","E","2.5322","<","8","<","19","<","6","<","6","<","4","<","5","<","50","<","10","<","206","<","17","<","11","<","22","<","3","<","50","<","20","<","6","<","10","NA","NA","<","9","<","50","<","14","<","500","<","5"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","VA",375541076514301,"10/28/2013","NACPPAS2B-23","<","9","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","NA","NA","<","3"
"Basin and Range aquifers","bnrfpas1","NV",401115118301501,"9/16/2013","BNRFPAS1-29","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","10","<","10","<","500","<","9","<","50","<","14","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",300358099100901,"11/16/2016","EDTRPAS1-09","<","25","<","6.8","<","8","<","19","<","50","<","5.6","<","5","<","3","<","50","<","2.8","<","1000","<","50","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Northern Atlantic Coastal Plain aquifer system","nacppas2","NC",343726078360201,"9/9/2013","NACPPAS2B-05","<","10","<","5","<","8","<","19","<","10","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Columbia Plateau basin-fill and basaltic-rock aquifers","clptpas1","WA",470807118225201,"8/1/2016","CLPTPAS1-23","<","7","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Coastal lowlands aquifer system","clowpas1","MS",302825089042001,"6/12/2013","CLOWPAS1-51","<","9","<","25","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","18","<","14","<","500","<","3"
"Basin and Range aquifers","bnrfpas1","NV",361200115580001,"11/7/2013","BNRFPAS1-37","<","10","<","5","<","8","<","19","<","6","<","6","<","4","<","4","<","50","<","3","<","206","<","17","<","11","<","22","<","3","<","19","<","20","<","6","<","10","<","500","<","9","<","50","<","14","NA","NA","<","3"
"Edwards-Trinity aquifer system","edtrpas1","TX",314704097341401,"12/19/2016","EDTRPAS1-23","<","10","<","6.8","<","8","<","50","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","17","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Edwards-Trinity aquifer system","edtrpas1","TX",294019098114701,"4/20/2017","EDTRPAS1-49","<","25","<","6.8","<","8","<","19","<","250","<","5.6","<","5","<","3","<","100","<","2.8","<","206","<","50","<","11","<","25","<","3.6","<","18","<","20","<","5.4","<","8.4","NA","NA","<","9","<","50","<","12","<","500","<","10"
"Colorado Plateaus aquifers","coplpas1","WY",423445110054501,"8/28/2017","COPLPAS1-56","<","10","<","6.8","<","8","<","19","<","10","<","5.6","<","5","<","3","<","50","<","2.8","<","206","<","25","<","11","<","22","<","3.6","<","18","<","20","<","5.4","<","10","NA","NA","<","9","<","50","<","12","<","500","<","10"
